price,distance,engine,city_mileage,highway_mileage
"17,374","46,982 miles",2.4L 4-Cylinder Gas Engine,22 City,31 Highway
"18,874","38,253 miles",5.7L 8-Cylinder Gas Engine,15 City,23 Highway
,,,,
"56,874","47,601 miles",5.3L 8-Cylinder Gas Engine,15 City,19 Highway
,,,,
,,,,
,,,,
"22,889","17,523 miles",1.5L 4-Cylinder Turbo Gas Engine,26 City,31 Highway
"22,989","13,857 miles",1.5L 4-Cylinder Turbo Gas Engine,26 City,31 Highway
"24,389","28,512 miles",1.5L 4-Cylinder Turbo Gas Engine,26 City,31 Highway
"67,549","14,095 miles",5.3L 8-Cylinder Gas Engine,15 City,20 Highway
"24,500","74,738 miles- Low Mileage",3.6L 6-Cylinder Gas Engine,18 City,25 Highway
"29,500","30,359 miles",3.6L 6-Cylinder Gas Engine,18 City,25 Highway
